NO,共通ID,都道府県名及び市町村名,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
36144,E2020100224112,長野県長野市,旧芋井中学校,長野県長野市大字桜600-6,1,,,36.67840468,138.1495097,
36145,E2020100224111,長野県長野市,長野市立芋井小学校,長野県長野市大字桜600-6,1,,,36.67917161,138.1493272,
36146,E2020100225111,長野県長野市,北部スポーツ・レクリエーションパーク,長野県長野市大字三才1981-1,1,,,36.68931944,138.24286666,
36147,E2020100226111,長野県長野市,長野市立柳町中学校,長野県長野市大字三輪1252,1,,,36.65575403,138.1982736,
36148,E2020100227111,長野県長野市,旧小田切小学校（青少年錬成センター分館）,長野県長野市大字山田中2574,1,,,36.644049336481,138.11896284048,
36149,E2020100228111,長野県長野市,長野市立若槻小学校,長野県長野市大字若槻東条810,1,,,36.68614735,138.22453,
36150,E2020100229111,長野県長野市,長野市立柳原小学校,長野県長野市大字小島702,1,,,36.66536758,138.2543443,
36151,E2020100230111,長野県長野市,アソビーバナガノパーク,長野県長野市大字上ケ屋2471-79,1,,,36.701281365741,138.13594264934,
36152,E2020100231111,長野県長野市,長野市立加茂小学校,長野県長野市大字西長野185-6,1,,,36.65751141,138.1764597,
36153,E2020100232111,長野県長野市,長野市立犀陵中学校,長野県長野市大字川合新田202-1,1,,,36.62424863,138.2114259,
36154,E2020100233111,長野県長野市,長野市立東北中学校,長野県長野市大字大町945,1,,,36.67662084,138.2596909,
36155,E2020100234111,長野県長野市,長野市立大豆島小学校,長野県長野市大字大豆島1004-2,1,,,36.63168634,138.2273142,
36156,E2020100235111,長野県長野市,大豆島公民館,長野県長野市大字大豆島1054-1,1,,,36.63136388,138.22532222,
36157,E2020100237111,長野県長野市,大豆島体育館,長野県長野市大字大豆島1144-1,1,,,36.63360555,138.22838611,
36158,E2020100240111,長野県長野市,長野市立山王小学校,長野県長野市大字中御所30-1,1,,,36.646950911962,138.18110705094,
36159,E2020100242111,長野県長野市,長野市立城山小学校,長野県長野市大字長野東之門町404-1,1,,,36.659747853695,138.18910837106,
36160,E2020100243111,長野県長野市,長野市立長沼小学校,長野県長野市大字津野191,1,,,36.68875291,138.2670074,
36161,E2020100244111,長野県長野市,長野市立南部小学校,長野県長野市大字鶴賀550-1,1,,,36.64065717,138.2006671,
36162,E2020100245111,長野県長野市,教育センター,長野県長野市大字鶴賀550-2,1,,,36.64130161918,138.19927389626,
36163,E2020100246111,長野県長野市,長野市立鍋屋田小学校,長野県長野市大字鶴賀上千歳町1365-2,1,,,36.649963857389,138.18951939138,
36164,E2020100250111,長野県長野市,長野市立長野中学校・高等学校,長野県長野市大字徳間1133,1,,,36.6803616,138.2350094,
36165,E2020100251111,長野県長野市,長野市立徳間小学校,長野県長野市大字徳間570,1,,,36.67640238,138.2278137,
36166,E2020100253111,長野県長野市,後町ホール（中部公民館分室）,長野県長野市大字南長野西後町614-1,1,,,36.651829,138.185672,
36167,E2020100254111,長野県長野市,信州大学教育学部附属長野中学校,長野県長野市大字南堀109,1,,,36.663670559803,138.24619462664,
36168,E2020100255111,長野県長野市,信州大学教育学部附属長野小学校,長野県長野市大字南堀77-1,1,,,36.66321111,138.24886388,
36169,E2020100256111,長野県長野市,長野市立芋井小学校第一分校（休校中）,長野県長野市大字入山753,1,,,36.67964066,138.120348,
36170,E2020100258111,長野県長野市,長野市立朝陽小学校,長野県長野市大字北長池1406,1,,,36.65314539,138.2429097,
36171,E2020100260111,長野県長野市,長野市立裾花小学校,長野県長野市中御所5-6-1,1,,,36.63182608378,138.18109033886,
36172,E2020100262111,長野県長野市,中央区分館,長野県長野市中条2105-1,1,,,36.606588128636,138.03005695374,
36173,E2020100263111,長野県長野市,長野市立中条中学校,長野県長野市中条2328,1,,,36.60620039,138.0334792,
36174,E2020100264111,長野県長野市,中条体育館,長野県長野市中条2328-2,1,,,36.606752358813,138.0339353959,
36175,E2020100265111,長野県長野市,長野県長野西高等学校中条校,長野県長野市中条2378-1,1,,,36.60756406,138.034677,
36176,E2020100266111,長野県長野市,中条交流センター,長野県長野市中条2383-1,1,,,36.607065,138.034293,
36177,E2020100267111,長野県長野市,長野市立中条小学校,長野県長野市中条2770,1,,,36.609871669724,138.03167354392,
